country,std_country
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Antigua & Barbuda,Antigua & Barbuda
Argentina,Argentina
Armenia,Armenia
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia,Bosnia & Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Cape Verde,Cape Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Congo - Brazzaville,Congo - Brazzaville
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Czechia,Czechia
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Guinea,Guinea
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong SAR China
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Lithuania,Lithuania
Luxembourg,Luxembourg
Malaysia,Malaysia
Maldives,Maldives
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
South Korea,South Korea
Romania,Romania
Russia,Russia
Rwanda,Rwanda
St. Lucia,St. Lucia
Samoa,Samoa
São Tomé & Príncipe,São Tomé & Príncipe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
North Macedonia,North Macedonia
Thailand,Thailand
Timor-Leste,Timor-Leste
Tonga,Tonga
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
UK,United Kingdom
Tanzania,Tanzania
US,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
